Year;Total Collections;Total Files;Total Seeds;Total Stored (TB)
1996;1;75174;0;0
2002;1;8303;2;0
2003;1;1362084;0;0
2005;1;14373817;0;0
2006;2;37003536;4;1
2007;2;123893349;0;2
2008;4;157038869;348081;5
2009;3;306722637;1080221;10
2010;5;300694206;802569;8
2011;8;398649607;1688784;13
2012;7;173111158;335859;6
2013;4;54583354;2;2
2014;7;560688053;1698163;25
2015;7;640813455;1338492;27
2016;15;1001097041;2217373;59
2017;12;948524507;3095062;73
2018;11;1324102961;2769573;102
2019;16;1749221847;2127469;131
2020;17;2808868275;10083157;240
2021;20;2673749827;1381539;169
2022;17;4442043505;3544228;230
2023;8;1350288352;12982781;96
