Month,Visits,Unique_users
jan. 2021,61,43
fev. 2021,49,31
mar. 2021,55,34
abr. 2021,50,31
mai. 2021,50,31
jun. 2021,46,30
jul. 2021,39,24
ago. 2021,40,23
set. 2021,44,28
out. 2021,83,38
nov. 2021,86,36
dez. 2021,0,0
jan. 2022,0,0
fev. 2022,0,0
mar. 2022,80,36
abr. 2022,123,54
mai. 2022,122,51
jun. 2022,119,46
jul. 2022,168,106
ago. 2022,172,98
set. 2022,203,108
out. 2022,257,140
nov. 2022,252,136
dez. 2022,276,155
jan. 2023,302,130
fev. 2023,179,116
mar. 2023,150,98
abr. 2023,217,123
mai. 2023,211,130
